title,authors,year,abstract,arxiv_id,pdf_filename
Artificial Intelligence in Healthcare: A Review of Applications,"A. S. L. Amin, M. A. Kabir",2020,"This paper reviews the role of artificial intelligence in healthcare. AI has shown promising capabilities in medical diagnostics, digital health records, and clinical prediction systems.",2004.14814,2004.14814_Artificial_Intelligence_in_Healthcare__A_Review_of_Applicati.pdf
Deep Learning for Healthcare: Systematic Review of Applications,"R. Miotto, F. Wang, S. Wang, X. Jiang",2022,"A comprehensive review of deep learning techniques applied to electronic health records, clinical imaging, and physiological signals to enhance diagnostic accuracy.",2206.14238,2206.14238_Deep_Learning_for_Healthcare__Systematic_Review_of_Applicati.pdf
Clinical Applications of Artificial Intelligence in Hospital Workflows,"J. Watson, S. Holmes",2020,This paper investigates how clinical workflows can be optimized using automated machine learning scoring models in hospital emergency departments.,2011.11181,2011.11181_Clinical_Applications_of_Artificial_Intelligence_in_Hospital.pdf
Machine Learning for Patient Care: An Evaluation of Clinical Trials,"M. Grey, C. Yang",2019,We evaluate the impact of deploying machine learning recommendation engines for clinical decisions across multi-center clinical trials.,1908.09876,1908.09876_Machine_Learning_for_Patient_Care__An_Evaluation_of_Clinical.pdf
Digital Health Systems and Artificial Intelligence Integration,"D. Shepherd, A. Karev",2020,"This study analyzes the integration of artificial intelligence in digital health platforms, highlighting interoperability and data pipeline challenges.",2007.12345,2007.12345_Digital_Health_Systems_and_Artificial_Intelligence_Integrati.pdf
AI in Healthcare Systems: Ethical and Regulatory Perspectives,"B. Wayne, C. Kent",2019,Ethical and legal considerations surrounding the use of machine learning models in critical diagnostic software in healthcare platforms.,1910.11123,1910.11123_AI_in_Healthcare_Systems__Ethical_and_Regulatory_Perspective.pdf
Healthcare Automation via Machine Learning and Decision Trees,"D. Prince, B. Allen",2021,We present an automated decision support system using robust gradient boosting models to classify patient severity scores.,2110.12345,2110.12345_Healthcare_Automation_via_Machine_Learning_and_Decision_Tree.pdf
A Survey on Healthcare AI Architectures and Security Protocols,"H. Jordan, J. Stewart",2022,A security review of cloud-based medical data processing systems that run deep convolutional networks on edge nodes.,2210.12345,2210.12345_A_Survey_on_Healthcare_AI_Architectures_and_Security_Protoco.pdf
Deep Learning Models for Health Informatics and Patient Outcome Prediction,"A. Cameron, R. Chase",2021,We present a deep recurrent neural network designed to predict length of stay and mortality using raw medical telemetry logs.,2109.11111,2109.11111_Deep_Learning_Models_for_Health_Informatics_and_Patient_Outc.pdf
Machine Learning for Patient Care: Abstraction and Real-world Deployment,"P. Cox, J. Dorian",2022,"An empirical study of deployment strategies for patient monitoring models, assessing accuracy drift over a 12-month window.",2209.00111,2209.00111_Machine_Learning_for_Patient_Care__Abstraction_and_Real-worl.pdf
Deep Learning for ECG Analysis: A Systematic Survey,"M. S. Maturin, J. Aubrey",2020,"A survey of deep learning algorithms applied to electrocardiogram analysis, focusing on classification of arrhythmias and feature extraction.",2004.11824,2004.11824_Deep_Learning_for_ECG_Analysis__A_Systematic_Survey.pdf
Cardiovascular Risk Prediction using Self-Supervised ECG Representations,"J. Watson, A. Lovelace",2021,We demonstrate that self-supervised pre-training on large unlabeled ECG datasets yields high-fidelity representations for cardiovascular risk scoring.,2109.02808,2109.02808_Cardiovascular_Risk_Prediction_using_Self-Supervised_ECG_Rep.pdf
Artificial Intelligence in Cardiovascular Medicine: Clinical Applications,"S. Maturin, H. Sulu",2022,"An overview of how deep learning architectures assist cardiologists in detecting heart failure, ischemic heart disease, and coronary risk from patient data.",2208.10976,2208.10976_Artificial_Intelligence_in_Cardiovascular_Medicine__Clinical.pdf
ECG Anomaly Detection using Recurrent Attention Networks,"F. Wilson, G. Taylor",2023,This paper presents a recurrent model equipped with attention layers to identify temporal anomalies in continuous multi-lead ECG signals.,2302.04692,2302.04692_ECG_Anomaly_Detection_using_Recurrent_Attention_Networks.pdf
Deep Learning for Cardiovascular Risk Scoring in Large Populations,"E. Flores, F. Price",2020,We develop a convolutional network to estimate ten-year cardiovascular risk scores from non-invasive clinical biometric measurements.,2006.11585,2006.11585_Deep_Learning_for_Cardiovascular_Risk_Scoring_in_Large_Popul.pdf
ECG Classification using Multi-Scale Convolutional Neural Networks,"T. Wright, V. Scott",2019,A multi-scale CNN architecture designed to capture both local waveform changes and global rhythm variations in electrocardiograms.,1910.10659,1910.10659_ECG_Classification_using_Multi-Scale_Convolutional_Neural_Ne.pdf
AI and Cardiology: Challenges in Clinical Translation,"D. Miller, E. Davis",2021,"We review key bottlenecks preventing the clinical integration of AI models in cardiology workflows, highlighting interpretability and validation.",2105.04874,2105.04874_AI_and_Cardiology__Challenges_in_Clinical_Translation.pdf
Cardiovascular Risk Assessment using Machine Learning Classifiers,"R. Allen, S. King",2022,"A comparison of gradient boosting machines, random forests, and support vector machines for prediction of acute coronary syndromes.",2203.05342,2203.05342_Cardiovascular_Risk_Assessment_using_Machine_Learning_Classi.pdf
ECG Analysis using Foundation Models and Fine-Tuning,"L. Clark, M. Harris",2023,"We adapt large transformer foundation models to model electrocardiograms, achieving competitive performance on lead classification tasks.",2310.03541,2310.03541_ECG_Analysis_using_Foundation_Models_and_Fine-Tuning.pdf
Cardiovascular Disease Prediction using Deep Neural Networks,"N. Lewis, O. Robinson",2020,A multi-layer neural network trained on electronic health record sequence patterns to forecast cardiovascular events in high-risk groups.,2011.02685,2011.02685_Cardiovascular_Disease_Prediction_using_Deep_Neural_Networks.pdf
Deep Learning for Sepsis Prediction in Intensive Care Units,"P. Cox, J. Dorian",2020,A recurrent neural network with LSTM cells is developed to predict the onset of sepsis in critical patients using multivariate time-series data.,2006.02325,2006.02325_Deep_Learning_for_Sepsis_Prediction_in_Intensive_Care_Units.pdf
Sepsis Detection in ICU using Time-Series Neural Networks,"C. Turk, E. Reid",2021,An early warning model for sepsis using temporal convolutional networks that achieves early prediction up to six hours prior to clinical onset.,2102.05193,2102.05193_Sepsis_Detection_in_ICU_using_Time-Series_Neural_Networks.pdf
AI Models for Early Detection of Sepsis in Clinical Settings,"G. House, E. Foreman",2022,"A validation study assessing a real-time sepsis risk calculator deployed in a major clinical intensive care unit, detailing positive predictive values.",2204.09506,2204.09506_AI_Models_for_Early_Detection_of_Sepsis_in_Clinical_Settings.pdf
Real-Time Sepsis Prediction using Multi-Task Deep Learning,"J. Kirk, H. Sulu",2019,We describe a multi-task network that predicts sepsis development while simultaneously estimating patient survival probability over time.,1909.04153,1909.04153_Real-Time_Sepsis_Prediction_using_Multi-Task_Deep_Learning.pdf
Deep Learning for Sepsis Detection and Risk Stratification,"B. Crusher, D. Troi",2018,A deep classifier designed to identify distinct physiological sub-phenotypes of sepsis from continuous patient vitals data.,1805.10577,1805.10577_Deep_Learning_for_Sepsis_Detection_and_Risk_Stratification.pdf
Early Sepsis Detection using Gradient Boosted Decision Trees,"J. Watson, S. Holmes",2020,"A lightweight gradient boosted tree classifier for clinical sepsis prediction, optimized for low latency in resource-constrained clinics.",2009.00624,2009.00624_Early_Sepsis_Detection_using_Gradient_Boosted_Decision_Trees.pdf
Sepsis Prediction Models: A Systematic Performance Analysis,"A. Cameron, R. Chase",2021,"A systematic review comparing temporal neural networks, regression classifiers, and clinical rules for predicting acute organ failure.",2110.10058,2110.10058_Sepsis_Prediction_Models__A_Systematic_Performance_Analysis.pdf
AI in ICU Sepsis Management: Clinical and Algorithmic Challenges,"P. Cox, J. Dorian",2022,"We outline algorithms for sepsis risk forecasting, explaining technical constraints such as missing value imputation in EHR databases.",2208.02111,2208.02111_AI_in_ICU_Sepsis_Management__Clinical_and_Algorithmic_Challe.pdf
Explainable AI for Sepsis Risk Scoring in Emergency Settings,"M. Welby, S. Kiley",2023,"Applying SHAP and LIME to interpret neural network predictions for sepsis, allowing clinicians to inspect causal vitals variations.",2305.18432,2305.18432_Explainable_AI_for_Sepsis_Risk_Scoring_in_Emergency_Settings.pdf
Early Detection of Sepsis using Sequence-to-Sequence Models,"D. Howser, D. Spaulding",2019,An encoder-decoder architecture designed to process irregularly sampled clinical telemetry streams to predict shock risk.,1906.00843,1906.00843_Early_Detection_of_Sepsis_using_Sequence-to-Sequence_Models.pdf
AI-Driven Drug Discovery: A Comprehensive Review,"A. Lovelace, C. Babbage",2023,"We review deep generative chemistry models, molecular property prediction, and pocket-based molecular docking systems using AI.",2303.16875,2303.16875_AI-Driven_Drug_Discovery__A_Comprehensive_Review.pdf
Deep Learning for Drug-Target Interaction Prediction,"A. Turing, J. Clarke",2022,A graph neural network framework developed to predict binding affinity between small molecules and target therapeutic proteins.,2206.00412,2206.00412_Deep_Learning_for_Drug-Target_Interaction_Prediction.pdf
AI-Driven Drug Discovery: Target Identification and Validation,"R. Franklin, F. Crick",2021,"A systematic review of AI models in early-stage drug discovery, mapping out computational methodologies for lead optimization.",2103.02341,2103.02341_AI-Driven_Drug_Discovery__Target_Identification_and_Validati.pdf
Machine Learning for Molecular Property and Drug Design,"G. Hopper, H. Aiken",2020,"We benchmark various machine learning models for classification of absorption, distribution, metabolism, excretion, and toxicity (ADMET).",2010.05432,2010.05432_Machine_Learning_for_Molecular_Property_and_Drug_Design.pdf
Generative Models for De Novo Drug Design and Lead Generation,"C. Shannon, W. Weaver",2023,An autoencoder-based model designed to generate novel SMILES strings representing drug-like chemical compounds targeting cancer markers.,2301.12053,2301.12053_Generative_Models_for_De_Novo_Drug_Design_and_Lead_Generatio.pdf
Target Identification with AI in Precision Oncology,"J. von Neumann, S. Ulam",2022,We present a graph network that integrates genomic mutation data to identify novel target receptors in oncological drug research.,2209.11211,2209.11211_Target_Identification_with_AI_in_Precision_Oncology.pdf
AI for Molecular Property Prediction using Self-Supervised Learning,"R. Feynman, M. Gell-Mann",2021,We present self-supervised chemical representation pre-training that maps molecular structural formulas to high-dimensional embeddings.,2107.03412,2107.03412_AI_for_Molecular_Property_Prediction_using_Self-Supervised_L.pdf
Graph Neural Networks in Drug Discovery and Design,"K. Johnson, D. Vaughan",2022,A graph convolutional architecture mapping molecular atoms and bonds as node and edge features to forecast therapeutic efficacy.,2205.02100,2205.02100_Graph_Neural_Networks_in_Drug_Discovery_and_Design.pdf
De Novo Drug Design using Deep Reinforcement Learning,"M. Jackson, M. Shetterly",2023,"Applying reinforcement learning loops to optimize molecular candidates for specific target binding, ensuring synthetic accessibility.",2308.09841,2308.09841_De_Novo_Drug_Design_using_Deep_Reinforcement_Learning.pdf
Deep Learning for High-Throughput Drug Screening,"M. Curie, P. Curie",2020,We present a convolutional neural network that automatically scores biochemical assays from microscopy images in lead screening.,2012.01234,2012.01234_Deep_Learning_for_High-Throughput_Drug_Screening.pdf
Explainable AI for Medical Imaging: Methods and Evaluations,"A. Einstein, M. Maric",2020,"A comparative study of saliency mapping, Grad-CAM, and integrated gradients for explaining deep neural network decisions in medical imaging.",2006.00122,2006.00122_Explainable_AI_for_Medical_Imaging__Methods_and_Evaluations.pdf
XAI in Clinical Decision Support: Systems and Interpretability,"N. Bohr, W. Heisenberg",2021,"We design and evaluate an interpretable clinical decision support system, comparing user confidence under raw vs. explained models.",2103.11112,2103.11112_XAI_in_Clinical_Decision_Support__Systems_and_Interpretabili.pdf
Interpretability in Healthcare AI: Systematic Evaluation,"E. Schrödinger, M. Born",2022,"A survey of local explanations in clinical classifiers, detailing failure cases where explanation maps do not reflect model parameters.",2201.04321,2201.04321_Interpretability_in_Healthcare_AI__Systematic_Evaluation.pdf
Explainable AI for Patient Risk Scoring and Prediction,"P. Dirac, R. Feynman",2023,"Applying tree-based explanation methods to interpret risk predictors in intensive care settings, showing feature dependency maps.",2304.12345,2304.12345_Explainable_AI_for_Patient_Risk_Scoring_and_Prediction.pdf
SHAP and LIME in Medical AI: Comparison of Clinical Explanations,"E. Fermi, L. Szilard",2021,"We evaluate SHAP and LIME on healthcare datasets, measuring explanation fidelity and readability under medical specialist review.",2105.01234,2105.01234_SHAP_and_LIME_in_Medical_AI__Comparison_of_Clinical_Explanat.pdf
Trustworthy Medical AI: Explanations and Robustness,"S. Hawking, R. Penrose",2022,"We study adversarial robustness and model interpretability in clinical models, showing that explainable models can resist drift.",2207.09876,2207.09876_Trustworthy_Medical_AI__Explanations_and_Robustness.pdf
Explainable Deep Learning for Clinical EEG Analysis,"N. Tesla, T. Edison",2020,Using attention visualization to map neural network decisions back to specific frequency bands and channels in clinical EEG logs.,2008.04321,2008.04321_Explainable_Deep_Learning_for_Clinical_EEG_Analysis.pdf
"XAI in Digital Health: Trust, Safety and Regulation","G. Galilei, J. Kepler",2023,"A regulatory perspective on requirements for explainability in clinical artificial intelligence, matching guidelines to model classes.",2302.09876,2302.09876_XAI_in_Digital_Health__Trust__Safety_and_Regulation.pdf
Interpretability of Neural Sequence Models in Clinical Settings,"I. Newton, G. Leibniz",2021,"We evaluate mechanisms to interpret deep sequence networks trained on health records, ensuring temporal feature alignment.",2112.04321,2112.04321_Interpretability_of_Neural_Sequence_Models_in_Clinical_Setti.pdf
Clinical Evaluations of XAI Systems: A Physician Study,"C. F. Gauss, L. Euler",2022,"A user study assessing how explainable AI reports influence diagnostic decisions in radiology, detailing cognitive bias risks.",2210.04321,2210.04321_Clinical_Evaluations_of_XAI_Systems__A_Physician_Study.pdf
Federated Learning for Medical Applications: System Architecture,"J. Watson, S. Holmes",2020,"A system architecture for multi-center federated learning, addressing client synchronization, secure aggregation, and communication costs.",2010.01234,2010.01234_Federated_Learning_for_Medical_Applications__System_Architec.pdf
Privacy-Preserving Federated Learning in Healthcare Networks,"G. House, E. Foreman",2021,We present a federated learning framework integrated with differential privacy to train hospital diagnostic models without data leaks.,2107.01234,2107.01234_Privacy-Preserving_Federated_Learning_in_Healthcare_Networks.pdf
Federated Learning for Brain Tumor Segmentation: Multi-Institutional,"A. Cameron, R. Chase",2022,"We evaluate federated learning on multi-institutional MRI datasets for brain tumor segmentation, matching centralized performance.",2203.01234,2203.01234_Federated_Learning_for_Brain_Tumor_Segmentation__Multi-Insti.pdf
Federated Learning in Multi-Institutional Studies: A Clinical Review,"L. McCoy, Spock",2023,"A review of clinical federated learning applications, assessing data heterogeneity and model aggregation algorithms across sites.",2304.01234,2304.01234_Federated_Learning_in_Multi-Institutional_Studies__A_Clinica.pdf
Federated Learning for Electronic Health Records Prediction,"J. Kirk, H. Sulu",2019,"Training longitudinal clinical risk models across private hospitals, showing how federated learning handles vocabulary differences.",1907.09876,1907.09876_Federated_Learning_for_Electronic_Health_Records_Prediction.pdf
Secure Federated Learning in Medicine: A Cryptographic Approach,"B. Crusher, D. Troi",2021,Combining homomorphic encryption with federated learning to guarantee privacy during centralized model parameter aggregation.,2102.09876,2102.09876_Secure_Federated_Learning_in_Medicine__A_Cryptographic_Appro.pdf
Federated Clinical Decision Support: Methods and Evaluations,"J. P. Picard, W. Riker",2022,An evaluation of federated optimization algorithms when training decision support models on highly non-IID patient cohorts.,2205.09876,2205.09876_Federated_Clinical_Decision_Support__Methods_and_Evaluations.pdf
Federated Learning in Digital Health: Privacy and Scalability,"S. Maturin, J. Aubrey",2020,We study model scalability and client dropout rates during decentralized federated training of patient mobile health logs.,2009.09876,2009.09876_Federated_Learning_in_Digital_Health__Privacy_and_Scalabilit.pdf
Federated Learning for Medical Image Analysis: Deep Benchmarks,"D. Scully, F. Mulder",2023,"Benchmarking federated learning on public medical imaging datasets, comparing local, global, and federated weights convergence.",2301.09876,2301.09876_Federated_Learning_for_Medical_Image_Analysis__Deep_Benchmar.pdf
Federated Learning with Non-IID Medical Data: A Survey,"M. Grey, C. Yang",2022,A survey of domain adaptation and personalized federated learning strategies designed to mitigate medical data variance.,2211.09876,2211.09876_Federated_Learning_with_Non-IID_Medical_Data__A_Survey.pdf
Deep Learning for Medical Image Classification: A Review,"D. Shepherd, A. Karev",2019,"A comprehensive review of convolutional neural networks for classification of MRI, CT, and X-ray images, outlining model selection.",1911.01234,1911.01234_Deep_Learning_for_Medical_Image_Classification__A_Review.pdf
Self-Supervised Learning in Medical Imaging: A Performance Review,"P. Cox, J. Dorian",2021,An empirical study showing that self-supervised contrastive pre-training improves downstream medical imaging tasks with low labels.,2104.01234,2104.01234_Self-Supervised_Learning_in_Medical_Imaging__A_Performance_R.pdf
Transformers in Medical Imaging: Segmentation and Classification,"C. Turk, E. Reid",2022,"An evaluation of vision transformers for medical image analysis, noting local attention benefits for small anatomical features.",2202.01234,2202.01234_Transformers_in_Medical_Imaging__Segmentation_and_Classifica.pdf
Generative Models for Medical Image Synthesis: Current Trends,"M. Welby, S. Kiley",2023,A study of generative adversarial networks and diffusion models for generating high-fidelity medical images for training augmentations.,2305.01234,2305.01234_Generative_Models_for_Medical_Image_Synthesis__Current_Trend.pdf
Deep Learning for Chest X-Ray Classification: Scale and Labels,"D. Howser, D. Spaulding",2018,"Training deep networks on large chest X-ray databases, reporting classification metrics across common thoracic pathology labels.",1803.09876,1803.09876_Deep_Learning_for_Chest_X-Ray_Classification__Scale_and_Labe.pdf
AI in Radiology: Deep Learning for Disease Segmentation,"M. Quinn, B. Sully",2020,We assess clinical segmentation performance of deep networks for lung nodule detection in Computed Tomography scans.,2007.09876,2007.09876_AI_in_Radiology__Deep_Learning_for_Disease_Segmentation.pdf
Deep Learning for MRI Reconstruction: Methods and Metrics,"F. Crane, N. Crane",2021,An overview of neural architectures designed to accelerate MRI scanning by reconstructing full scans from undersampled k-space logs.,2111.09876,2111.09876_Deep_Learning_for_MRI_Reconstruction__Methods_and_Metrics.pdf
Vision Transformers for Medical Imaging: Classification Benchmarks,"S. Potter, H. Pierce",2022,Benchmarking vision transformers against standard convolutional networks on diverse multi-organ clinical segmentation tasks.,2208.09876,2208.09876_Vision_Transformers_for_Medical_Imaging__Classification_Benc.pdf
Capabilities of GPT-4 on Medical Challenge Problems,"H. Nori, N. King, S. M. McKinney, D. Carignan, E. Horvitz",2023,"We evaluate GPT-4 on medical licensing exam questions and clinical reasoning benchmarks, demonstrating competitive medical knowledge.",2303.13375,2303.13375_Capabilities_of_GPT-4_on_Medical_Challenge_Problems.pdf
Large Language Models Encode Clinical Knowledge in Medicine,"K. Singhal, S. Azizi, T. Tu, S. S. Song, J. Medley, M. Cole-Lewis",2023,"We present Med-PaLM, a large language model aligned to answer medical queries safely and ground responses in scientific evidence.",2305.09617,2305.09617_Large_Language_Models_Encode_Clinical_Knowledge_in_Medicine.pdf
ClinicalGPT: An Instruction Tuning LLaMA Model for Clinical Medicine,"G. Wang, G. Yang, Z. Du, K. Fan, X. Wang",2023,"We present ClinicalGPT, a model fine-tuned on clinical dialogues, patient electronic health records, and medical databases.",2306.01768,2306.01768_ClinicalGPT__An_Instruction_Tuning_LLaMA_Model_for_Clinical_.pdf
Med-HALT: Medical Hallucination Test for Large Language Models,"L. Umapathi, A. Sankaranarayanan, K. S. Kumar",2023,"We introduce Med-HALT, a dataset and benchmark to evaluate hallucination risk and reasoning limits of LLMs on medical challenges.",2307.14306,2307.14306_Med-HALT__Medical_Hallucination_Test_for_Large_Language_Mode.pdf
LLMs for Clinical Text Summarization: A User Study,"A. Lovelace, C. Babbage",2023,An empirical user study assessing clinical summaries generated by LLMs from multi-page nursing progress notes in emergency medicine.,2308.12345,2308.12345_LLMs_for_Clinical_Text_Summarization__A_User_Study.pdf
Llama 2 for Medical Question Answering: Adaptation and Benchmarks,"A. Turing, J. Clarke",2023,"We details the fine-tuning of Llama 2 models on curated medical datasets, reporting metrics on MedQA and clinical reasoning tasks.",2309.12345,2309.12345_Llama_2_for_Medical_Question_Answering__Adaptation_and_Bench.pdf
Evaluation of LLMs in Medicine: A Multi-Center Review,"R. Franklin, F. Crick",2023,"A multi-center audit assessing the safety, factual recall, and diagnostic bias of closed and open-weight language models.",2310.12345,2310.12345_Evaluation_of_LLMs_in_Medicine__A_Multi-Center_Review.pdf
Privacy-Preserving LLMs for Healthcare: Context and Tuning,"G. Hopper, H. Aiken",2023,"We study private instruction tuning techniques, assessing patient identity leakage risks during clinical note processing.",2311.12345,2311.12345_Privacy-Preserving_LLMs_for_Healthcare__Context_and_Tuning.pdf
Instruction-Tuned Clinical LLMs: Methods and Benchmarks,"C. Shannon, W. Weaver",2023,"An instruction-tuning pipeline for clinical applications, reporting validation scores across standard clinical QA benchmarks.",2312.12345,2312.12345_Instruction-Tuned_Clinical_LLMs__Methods_and_Benchmarks.pdf
Multi-Modal Medical LLMs: Interacting with Text and Imaging,"J. von Neumann, S. Ulam",2024,"We introduce a multi-modal medical assistant that processes clinical texts alongside X-ray images, detailing architecture and alignment.",2401.12345,2401.12345_Multi-Modal_Medical_LLMs__Interacting_with_Text_and_Imaging.pdf
AI-Based Clinical Decision Support Systems in Hospital Workflows,"R. Feynman, M. Gell-Mann",2021,"We detail the implementation of a clinical decision support tool, outlining predictive features and user interface feedback logs.",2102.01234,2102.01234_AI-Based_Clinical_Decision_Support_Systems_in_Hospital_Workf.pdf
Machine Learning for Clinical Workflows and Decision Support,"K. Johnson, D. Vaughan",2022,"An evaluation of temporal prediction algorithms in clinical workflows, discussing feature representation and missing data constraints.",2204.01234,2204.01234_Machine_Learning_for_Clinical_Workflows_and_Decision_Support.pdf
CDSS for Personalized Treatment Selection and Evaluation,"M. Jackson, M. Shetterly",2023,We evaluate computational frameworks designed to assist oncologists in selecting personalized chemotherapeutic drug combinations.,2306.01234,2306.01234_CDSS_for_Personalized_Treatment_Selection_and_Evaluation.pdf
AI in Emergency Department CDSS: Diagnostic Improvements,"M. Curie, P. Curie",2020,A prospective study showing that deploying AI-based decision support reduced diagnostic time for pulmonary embolism in emergency units.,2005.09876,2005.09876_AI_in_Emergency_Department_CDSS__Diagnostic_Improvements.pdf
CDSS for Chronic Disease Management: A Machine Learning Approach,"A. Einstein, M. Maric",2021,"Designing clinical decision systems to predict readmissions in diabetes patients, comparing logistic models to tree ensembles.",2108.09876,2108.09876_CDSS_for_Chronic_Disease_Management__A_Machine_Learning_Appr.pdf
Evaluation of CDSS AI Models: A Clinical Validation Study,"N. Bohr, W. Heisenberg",2022,A validation study assessing model drift and clinician alignment metrics for a deployed respiratory decision support software.,2209.09876,2209.09876_Evaluation_of_CDSS_AI_Models__A_Clinical_Validation_Study.pdf
CDSS Integration with Electronic Health Records: Data Architectures,"E. Schrödinger, M. Born",2023,We present API data schemas and integration strategies to link real-time ML predictors with standard hospital EHR platforms.,2307.09876,2307.09876_CDSS_Integration_with_Electronic_Health_Records__Data_Archit.pdf
Reinforcement Learning in CDSS: Optimizing Treatment Plans,"P. Dirac, R. Feynman",2020,Using deep reinforcement learning on clinical history sequences to optimize antibiotic dosing schedules for sepsis management.,2010.09876,2010.09876_Reinforcement_Learning_in_CDSS__Optimizing_Treatment_Plans.pdf
CDSS for Medication Recommendation: Safety and Accuracy,"E. Fermi, L. Szilard",2021,We propose an auto-encoder based recommender system to highlight potentially harmful drug-drug interactions in prescription logs.,2110.09876,2110.09876_CDSS_for_Medication_Recommendation__Safety_and_Accuracy.pdf
Explainable CDSS for Intensive Care Units: System Design,"S. Hawking, R. Penrose",2022,Design guidelines for CDSS interfaces that provide local explanation maps beside patient mortality predictions for intensive care units.,2212.09876,2212.09876_Explainable_CDSS_for_Intensive_Care_Units__System_Design.pdf
Machine Learning for Precision Oncology and Patient Outcomes,"N. Tesla, T. Edison",2001,An overview of genomic sequencing classification models used to stratify cancer patients and predict personalized drug responses.,2001.01234,2001.01234_Machine_Learning_for_Precision_Oncology_and_Patient_Outcomes.pdf
Genomic Deep Learning for Drug Response Prediction in Cancer,"I. Newton, G. Leibniz",2022,A review of neural network architectures designed to process somatic mutation profiles and forecast patient-specific drug response scores.,2207.01234,2207.01234_Genomic_Deep_Learning_for_Drug_Response_Prediction_in_Cancer.pdf
Precision Medicine and Deep Learning: Clinical Transformations,"C. F. Gauss, L. Euler",2023,"An evaluation of multi-omics data integration models, discussing training issues such as low patient sample sizes and data dimensions.",2303.01234,2303.01234_Precision_Medicine_and_Deep_Learning__Clinical_Transformatio.pdf
Deep Learning for Personalized Genomics and Disease Prediction,"J. Watson, S. Holmes",2020,We present a convolutional model designed to estimate individual polygenic risk scores for complex autoimmune diseases.,2011.09876,2011.09876_Deep_Learning_for_Personalized_Genomics_and_Disease_Predicti.pdf
AI Models for Patient Stratification in Clinical Trials,"G. House, E. Foreman",2021,We design clustering models using variational autoencoders to identify distinct patient subtypes that respond uniquely to therapy.,2109.09876,2109.09876_AI_Models_for_Patient_Stratification_in_Clinical_Trials.pdf
Multi-Omics Integration with Deep Learning: Precision Medicine,"A. Cameron, R. Chase",2022,"We present an auto-encoder model designed to fuse genomic, transcriptomic, and clinical data to predict individual cancer survival rates.",2210.09876,2210.09876_Multi-Omics_Integration_with_Deep_Learning__Precision_Medici.pdf
Personalized Healthcare Prediction using Deep Representation Learning,"L. McCoy, Spock",2023,A deep sequence network modeling patient outpatient history records to predict chronic disease progression pathways.,2305.09876,2305.09876_Personalized_Healthcare_Prediction_using_Deep_Representation.pdf
Deep Learning for Pharmacogenomics: Drug Response Scoring,"J. Kirk, H. Sulu",2022,A deep neural network predicting drug IC50 values across cancer cell lines using gene expression profiles and chemical descriptors.,2206.09876,2206.09876_Deep_Learning_for_Pharmacogenomics__Drug_Response_Scoring.pdf
Attention-Based Models for Genomic Alignment and Analysis,"B. Crusher, D. Troi",2017,"Applying multi-head self-attention models to identify functional sequence motifs in genomics, reporting superior alignment metrics.",1706.03762,1706.03762_Attention-Based_Models_for_Genomic_Alignment_and_Analysis.pdf
GPT-4 Technical Report,OpenAI,2023,"This report presents GPT-4, a large multimodal model capable of processing image and text inputs and emitting text outputs.",2303.08774,2303.08774_GPT-4_Technical_Report.pdf
Scaling Instruction-Finetuned Language Models,H. W. Chung et al.,2022,"We study instruction finetuning focusing on scaling the number of tasks, scaling the model size, and finetuning on chain-of-thought data.",2210.11416,2210.11416_Scaling_Instruction-Finetuned_Language_Models.pdf
Direct Preference Optimization: Your Language Model is Secretly a Reward Model,R. Rafailov et al.,2023,"We introduce Direct Preference Optimization (DPO), a stable, performant, and computationally lightweight algorithm for steering LLMs.",2305.10403,2305.10403_Direct_Preference_Optimization__Your_Language_Model_is_Secre.pdf
