title,authors,year,abstract,arxiv_id,pdf_filename
TorchDrug: A Powerful and Flexible Machine Learning Platform for Drug Discovery,"Zhaocheng Zhu, Chence Shi, Zuobai Zhang, Shengchao Liu, Minghao Xu et al.",2022,"Machine learning has huge potential to revolutionize the field of drug discovery and is attracting increasing attention in recent years. However, lacking domain knowledge (e.g., which tasks to work on), standard benchmarks and data preprocessing pipelines are the main obstacles for machine learni...",2202.08320,2202.08320_TorchDrug__A_Powerful_and_Flexible_Machine_Learning_Platform.pdf
Machine Learning and Deep Learning Methods for Building Intelligent Systems in Medicine and Drug Discovery: A Comprehensive Survey,"G Jignesh Chowdary, Suganya G, Premalatha M, Asnath Victy Phamila Y, Karunamurthy K",2021,"With the advancements in computer technology, there is a rapid development of intelligent systems to understand the complex relationships in data to make predictions and classifications. Artificail Intelligence based framework is rapidly revolutionizing the healthcare industry. These intelligent ...",2107.14037,2107.14037_Machine_Learning_and_Deep_Learning_Methods_for_Building_Inte.pdf
Structure-based drug discovery with deep learning,"Rıza Özçelik, Derek van Tilborg, José Jiménez-Luna, Francesca Grisoni",2022,"Artificial intelligence (AI) in the form of deep learning bears promise for drug discovery and chemical biology, $\textit{e.g.}$, to predict protein structure and molecular bioactivity, plan organic synthesis, and design molecules $\textit{de novo}$. While most of the deep learning efforts in dru...",2212.13295,2212.13295_Structure-based_drug_discovery_with_deep_learning.pdf
Generative chemistry: drug discovery with deep learning generative models,"Yuemin Bian, Xiang-Qun Xie",2020,"The de novo design of molecular structures using deep learning generative models introduces an encouraging solution to drug discovery in the face of the continuously increased cost of new drug development. From the generation of original texts, images, and videos, to the scratching of novel molec...",2008.09000,2008.09000_Generative_chemistry__drug_discovery_with_deep_learning_gene.pdf
A deep-learning view of chemical space designed to facilitate drug discovery,"Paul Maragakis, Hunter Nisonoff, Brian Cole, David E. Shaw",2020,"Drug discovery projects entail cycles of design, synthesis, and testing that yield a series of chemically related small molecules whose properties, such as binding affinity to a given target protein, are progressively tailored to a particular drug discovery goal. The use of deep learning technolo...",2002.02948,2002.02948_A_deep-learning_view_of_chemical_space_designed_to_facilitat.pdf
How Evaluation Choices Distort the Outcome of Generative Drug Discovery,"Rıza Özçelik, Francesca Grisoni",2024,"""How to evaluate the de novo designs proposed by a generative model?"" Despite the transformative potential of generative deep learning in drug discovery, this seemingly simple question has no clear answer. The absence of standardized guidelines challenges both the benchmarking of generative appro...",2501.05457,2501.05457_How_Evaluation_Choices_Distort_the_Outcome_of_Generative_Dru.pdf
"Graph-structured Small Molecule Drug Discovery Through Deep Learning: Progress, Challenges, and Opportunities","Kun Li, Yida Xiong, Hongzhi Zhang, Xiantao Cai, Jia Wu et al.",2025,"Due to their excellent drug-like and pharmacokinetic properties, small molecule drugs are widely used to treat various diseases, making them a critical component of drug discovery. In recent years, with the rapid development of deep learning (DL) techniques, DL-based small molecule drug discovery...",2502.08975,2502.08975_Graph-structured_Small_Molecule_Drug_Discovery_Through_Deep_.pdf
Knowledge-augmented Graph Machine Learning for Drug Discovery: A Survey,"Zhiqiang Zhong, Anastasia Barkova, Davide Mottin",2023,"The integration of Artificial Intelligence (AI) into the field of drug discovery has been a growing area of interdisciplinary scientific research. However, conventional AI models are heavily limited in handling complex biomedical structures (such as 2D or 3D protein and molecule structures) and p...",2302.08261,2302.08261_Knowledge-augmented_Graph_Machine_Learning_for_Drug_Discover.pdf
Morphological Profiling for Drug Discovery in the Era of Deep Learning,"Qiaosi Tang, Ranjala Ratnayake, Gustavo Seabra, Zhe Jiang, Ruogu Fang et al.",2023,"Morphological profiling is a valuable tool in phenotypic drug discovery. The advent of high-throughput automated imaging has enabled the capturing of a wide range of morphological features of cells or organisms in response to perturbations at the single-cell resolution. Concurrently, significant ...",2312.07899,2312.07899_Morphological_Profiling_for_Drug_Discovery_in_the_Era_of_Dee.pdf
Machine Learning Small Molecule Properties in Drug Discovery,"Nikolai Schapin, Maciej Majewski, Alejandro Varela, Carlos Arroniz, Gianni De Fabritiis",2023,"Machine learning (ML) is a promising approach for predicting small molecule properties in drug discovery. Here, we provide a comprehensive overview of various ML methods introduced for this purpose in recent years. We review a wide range of properties, including binding affinities, solubility, an...",2308.12354,2308.12354_Machine_Learning_Small_Molecule_Properties_in_Drug_Discovery.pdf
Deep Learning Methods for Small Molecule Drug Discovery: A Survey,"Wenhao Hu, Yingying Liu, Xuanyu Chen, Wenhao Chai, Hangyue Chen et al.",2023,"With the development of computer-assisted techniques, research communities including biochemistry and deep learning have been devoted into the drug discovery field for over a decade. Various applications of deep learning have drawn great attention in drug discovery, such as molecule generation, m...",2303.00313,2303.00313_Deep_Learning_Methods_for_Small_Molecule_Drug_Discovery__A_S.pdf
Drug Discovery Approaches using Quantum Machine Learning,"Junde Li, Mahabubul Alam, Congzhou M Sha, Jian Wang, Nikolay V. Dokholyan et al.",2021,Traditional drug discovery pipeline takes several years and cost billions of dollars. Deep generative and predictive models are widely adopted to assist in drug development. Classical machines cannot efficiently produce atypical patterns of quantum computers which might improve the training quali...,2104.00746,2104.00746_Drug_Discovery_Approaches_using_Quantum_Machine_Learning.pdf
Quantum Machine Learning in Drug Discovery: Applications in Academia and Pharmaceutical Industries,"Anthony M. Smaldone, Yu Shee, Gregory W. Kyro, Chuzhi Xu, Nam P. Vu et al.",2024,The nexus of quantum computing and machine learning - quantum machine learning - offers the potential for significant advancements in chemistry. This review specifically explores the potential of quantum neural networks on gate-based quantum computers within the context of drug discovery. We disc...,2409.15645,2409.15645_Quantum_Machine_Learning_in_Drug_Discovery__Applications_in_.pdf
Utilising Graph Machine Learning within Drug Discovery and Development,"Thomas Gaudelet, Ben Day, Arian R. Jamasb, Jyothish Soman, Cristian Regep et al.",2020,"Graph Machine Learning (GML) is receiving growing interest within the pharmaceutical and biotechnology industries for its ability to model biomolecular structures, the functional relationships between them, and integrate multi-omic datasets - amongst other data types. Herein, we present a multidi...",2012.05716,2012.05716_Utilising_Graph_Machine_Learning_within_Drug_Discovery_and_D.pdf
Identification of Pediatric Sepsis Subphenotypes for Enhanced Machine Learning Predictive Performance: A Latent Profile Analysis,"Tom Velez, Tony Wang, Ioannis Koutroulis, James Chamberlain, Amit Uppal et al.",2019,"Background: While machine learning (ML) models are rapidly emerging as promising screening tools in critical care medicine, the identification of homogeneous subphenotypes within populations with heterogeneous conditions such as pediatric sepsis may facilitate attainment of high-predictive perfor...",1908.09038,1908.09038_Identification_of_Pediatric_Sepsis_Subphenotypes_for_Enhance.pdf
Development and Validation of SXI++ LNM Algorithm for Sepsis Prediction,"Dharambir Mahto, Prashant Yadav, Mahesh Banavar, Jim Keany, Alan T Joseph et al.",2025,"Sepsis is a life-threatening condition affecting over 48.9 million people globally and causing 11 million deaths annually. Despite medical advancements, predicting sepsis remains a challenge due to non-specific symptoms and complex pathophysiology. The SXI++ LNM is a machine learning scoring syst...",2505.22840,2505.22840_Development_and_Validation_of_SXI___LNM_Algorithm_for_Sepsis.pdf
Detection of sepsis during emergency department triage using machine learning,"Oleksandr Ivanov, Karin Molander, Robert Dunne, Stephen Liu, Deena Brecher et al.",2022,Sepsis is a life-threatening condition with organ dysfunction and is a leading cause of death and critical illness worldwide. Even a few hours of delay in the treatment of sepsis results in increased mortality. Early detection of sepsis during emergency department triage would allow early initiat...,2204.07657,2204.07657_Detection_of_sepsis_during_emergency_department_triage_using.pdf
Disparities in Social Determinants among Performances of Mortality Prediction with Machine Learning for Sepsis Patients,"Hanyin Wang, Yikuan Li, Andrew Naidech, Yuan Luo",2021,"Background Sepsis is one of the most life-threatening circumstances for critically ill patients in the US, while a standardized criteria for sepsis identification is still under development. Disparities in social determinants of sepsis patients can interfere with the risk prediction performances ...",2112.08224,2112.08224_Disparities_in_Social_Determinants_among_Performances_of_Mor.pdf
Data-Driven Machine Learning Approaches for Predicting In-Hospital Sepsis Mortality,"Arseniy Shumilov, Yueting Zhu, Negin Ashrafi, Armin Abdollahi, Greg Placencia et al.",2024,"Sepsis is a severe condition responsible for many deaths in the United States and worldwide, making accurate prediction of outcomes crucial for timely and effective treatment. Previous studies employing machine learning faced limitations in feature selection and model interpretability, reducing t...",2408.01612,2408.01612_Data-Driven_Machine_Learning_Approaches_for_Predicting_In-Ho.pdf
Early Recognition of Sepsis with Gaussian Process Temporal Convolutional Networks and Dynamic Time Warping,"Michael Moor, Max Horn, Bastian Rieck, Damian Roqueiro, Karsten Borgwardt",2019,"Sepsis is a life-threatening host response to infection associated with high mortality, morbidity, and health costs. Its management is highly time-sensitive since each hour of delayed treatment increases mortality due to irreversible organ damage. Meanwhile, despite decades of clinical research, ...",1902.01659,1902.01659_Early_Recognition_of_Sepsis_with_Gaussian_Process_Temporal_C.pdf
Early Prediction of Sepsis: Feature-Aligned Transfer Learning,"Oyindolapo O. Komolafe, Zhimin Mei, David Morales Zarate, Gregory William Spangenberg",2025,"Sepsis is a life threatening medical condition that occurs when the body has an extreme response to infection, leading to widespread inflammation, organ failure, and potentially death. Because sepsis can worsen rapidly, early detection is critical to saving lives. However, current diagnostic meth...",2505.02889,2505.02889_Early_Prediction_of_Sepsis__Feature-Aligned_Transfer_Learnin.pdf
Advanced Meta-Ensemble Machine Learning Models for Early and Accurate Sepsis Prediction to Improve Patient Outcomes,"MohammadAmin Ansari Khoushabar, Parviz Ghafariasl",2024,"Sepsis, a critical condition from the body's response to infection, poses a major global health crisis affecting all age groups. Timely detection and intervention are crucial for reducing healthcare expenses and improving patient outcomes. This paper examines the limitations of traditional sepsis...",2407.08107,2407.08107_Advanced_Meta-Ensemble_Machine_Learning_Models_for_Early_and.pdf
Extending Machine Learning-Based Early Sepsis Detection to Different Demographics,"Surajsinh Parmar, Tao Shan, San Lee, Yonghwan Kim, Jang Yong Kim",2023,"Sepsis requires urgent diagnosis, but research is predominantly focused on Western datasets. In this study, we perform a comparative analysis of two ensemble learning methods, LightGBM and XGBoost, using the public eICU-CRD dataset and a private South Korean St. Mary's Hospital's dataset. Our ana...",2311.04325,2311.04325_Extending_Machine_Learning-Based_Early_Sepsis_Detection_to_D.pdf
The Consequences of the Framing of Machine Learning Risk Prediction Models: Evaluation of Sepsis in General Wards,"Simon Meyer Lauritsen, Bo Thiesson, Marianne Johansson Jørgensen, Anders Hammerich Riis, Ulrick Skipper Espelund et al.",2021,Objectives: To evaluate the consequences of the framing of machine learning risk prediction models. We evaluate how framing affects model performance and model learning in four different approaches previously applied in published artificial-intelligence (AI) models. Setting and participants: We a...,2101.10790,2101.10790_The_Consequences_of_the_Framing_of_Machine_Learning_Risk_Pre.pdf
Leveraging Implicit Expert Knowledge for Non-Circular Machine Learning in Sepsis Prediction,"Shigehiko Schamoni, Holger A. Lindner, Verena Schneider-Lindner, Manfred Thiel, Stefan Riezler",2019,"Sepsis is the leading cause of death in non-coronary intensive care units. Moreover, a delay of antibiotic treatment of patients with severe sepsis by only few hours is associated with increased mortality. This insight makes accurate models for early prediction of sepsis a key task in machine lea...",1909.09557,1909.09557_Leveraging_Implicit_Expert_Knowledge_for_Non-Circular_Machin.pdf
Sepsis Prediction and Vital Signs Ranking in Intensive Care Unit Patients,"Avijit Mitra, Khalid Ashraf",2018,"We study multiple rule-based and machine learning (ML) models for sepsis detection. We report the first neural network detection and prediction results on three categories of sepsis. We have used the retrospective Medical Information Mart for Intensive Care (MIMIC)-III dataset, restricted to inte...",1812.06686,1812.06686_Sepsis_Prediction_and_Vital_Signs_Ranking_in_Intensive_Care_.pdf
Multi-Subset Approach to Early Sepsis Prediction,"Kevin Ewig, Xiangwen Lin, Tucker Stewart, Katherine Stern, Grant O'Keefe et al.",2023,"Sepsis is a life-threatening organ malfunction caused by the host's inability to fight infection, which can lead to death without proper and immediate treatment. Therefore, early diagnosis and medical treatment of sepsis in critically ill populations at high risk for sepsis and sepsis-associated ...",2304.06384,2304.06384_Multi-Subset_Approach_to_Early_Sepsis_Prediction.pdf
Sepsis Prediction with Temporal Convolutional Networks,"Xing Wang, Yuntian He",2022,"We design and implement a temporal convolutional network model to predict sepsis onset. Our model is trained on data extracted from MIMIC III database, based on a retrospective analysis of patients admitted to intensive care unit who did not fall under the definition of sepsis at the time of admi...",2205.15492,2205.15492_Sepsis_Prediction_with_Temporal_Convolutional_Networks.pdf
On Classifying Sepsis Heterogeneity in the ICU: Insight Using Machine Learning,"Zina Ibrahim, Honghan Wu, Ahmed Hamoud, Lukas Stappen, Richard Dobson et al.",2019,"Current machine learning models aiming to predict sepsis from Electronic Health Records (EHR) do not account for the heterogeneity of the condition, despite its emerging importance in prognosis and treatment. This work demonstrates the added value of stratifying the types of organ dysfunction obs...",1912.00672,1912.00672_On_Classifying_Sepsis_Heterogeneity_in_the_ICU__Insight_Usin.pdf
Improving Machine Learning Based Sepsis Diagnosis Using Heart Rate Variability,"Sai Balaji, Christopher Sun, Anaiy Somalwar",2024,"The early and accurate diagnosis of sepsis is critical for enhancing patient outcomes. This study aims to use heart rate variability (HRV) features to develop an effective predictive model for sepsis detection. Critical HRV features are identified through feature engineering methods, including st...",2408.02683,2408.02683_Improving_Machine_Learning_Based_Sepsis_Diagnosis_Using_Hear.pdf
VAFL: a Method of Vertical Asynchronous Federated Learning,"Tianyi Chen, Xiao Jin, Yuejiao Sun, Wotao Yin",2020,"Horizontal Federated learning (FL) handles multi-client data that share the same set of features, and vertical FL trains a better predictor that combine all the features from different clients. This paper targets solving vertical FL in an asynchronous fashion, and develops a simple FL method. The...",2007.06081,2007.06081_VAFL__a_Method_of_Vertical_Asynchronous_Federated_Learning.pdf
"Federated Learning for Healthcare Domain - Pipeline, Applications and Challenges","Madhura Joshi, Ankit Pal, Malaikannan Sankarasubbu",2022,"Federated learning is the process of developing machine learning models over datasets distributed across data centers such as hospitals, clinical research labs, and mobile devices while preventing data leakage. This survey examines previous research and studies on federated learning in the health...",2211.07893,2211.07893_Federated_Learning_for_Healthcare_Domain_-_Pipeline__Applica.pdf
"Beyond Static Knowledge Messengers: Towards Adaptive, Fair, and Scalable Federated Learning for Medical AI","Jahidul Arafat, Fariha Tasmin, Sanjaya Poudel, Iftekhar Haider",2025,"Medical AI faces challenges in privacy-preserving collaborative learning while ensuring fairness across heterogeneous healthcare institutions. Current federated learning approaches suffer from static architectures, slow convergence (45-73 rounds), fairness gaps marginalizing smaller institutions,...",2510.06259,2510.06259_Beyond_Static_Knowledge_Messengers__Towards_Adaptive__Fair__.pdf
Towards More Efficient Data Valuation in Healthcare Federated Learning using Ensembling,"Sourav Kumar, A. Lakshminarayanan, Ken Chang, Feri Guretno, Ivan Ho Mien et al.",2022,"Federated Learning (FL) wherein multiple institutions collaboratively train a machine learning model without sharing data is becoming popular. Participating institutions might not contribute equally, some contribute more data, some better quality data or some more diverse data. To fairly rank the...",2209.05424,2209.05424_Towards_More_Efficient_Data_Valuation_in_Healthcare_Federate.pdf
Federated Learning for Data and Model Heterogeneity in Medical Imaging,"Hussain Ahmad Madni, Rao Muhammad Umer, Gian Luca Foresti",2023,"Federated Learning (FL) is an evolving machine learning method in which multiple clients participate in collaborative learning without sharing their data with each other and the central server. In real-world applications such as hospitals and industries, FL counters the challenges of data heterog...",2308.00155,2308.00155_Federated_Learning_for_Data_and_Model_Heterogeneity_in_Medic.pdf
Towards Interpretable Federated Learning,"Anran Li, Rui Liu, Ming Hu, Yuanyuan Chen, Shipeng Wang et al.",2023,"Federated learning (FL) enables multiple data owners to build machine learning models collaboratively without exposing their private local data. In order for FL to achieve widespread adoption, it is important to balance the need for performance, privacy-preservation and interpretability, especial...",2302.13473,2302.13473_Towards_Interpretable_Federated_Learning.pdf
Incentive-Based Federated Learning: Architectural Elements and Future Directions,"Chanuka A. S. Hewa Kaluannakkage, Rajkumar Buyya",2025,"Federated learning promises to revolutionize machine learning by enabling collaborative model training without compromising data privacy. However, practical adaptability can be limited by critical factors, such as the participation dilemma. Participating entities are often unwilling to contribute...",2510.14208,2510.14208_Incentive-Based_Federated_Learning__Architectural_Elements_a.pdf
Distribution-Free Federated Learning with Conformal Predictions,"Charles Lu, Jayasheree Kalpathy-Cramer",2021,"Federated learning has attracted considerable interest for collaborative machine learning in healthcare to leverage separate institutional datasets while maintaining patient privacy. However, additional challenges such as poor calibration and lack of interpretability may also hamper widespread de...",2110.07661,2110.07661_Distribution-Free_Federated_Learning_with_Conformal_Predicti.pdf
"Fed-BioMed: Open, Transparent and Trusted Federated Learning for Real-world Healthcare Applications","Francesco Cremonesi, Marc Vesin, Sergen Cansiz, Yannick Bouillard, Irene Balelli et al.",2023,"The real-world implementation of federated learning is complex and requires research and development actions at the crossroad between different domains ranging from data science, to software programming, networking, and security. While today several FL libraries are proposed to data scientists an...",2304.12012,2304.12012_Fed-BioMed__Open__Transparent_and_Trusted_Federated_Learning.pdf
Enhancing Privacy in Federated Learning: Secure Aggregation for Real-World Healthcare Applications,"Riccardo Taiello, Sergen Cansiz, Marc Vesin, Francesco Cremonesi, Lucia Innocenti et al.",2024,"Deploying federated learning (FL) in real-world scenarios, particularly in healthcare, poses challenges in communication and security. In particular, with respect to the federated aggregation procedure, researchers have been focusing on the study of secure aggregation (SA) schemes to provide priv...",2409.00974,2409.00974_Enhancing_Privacy_in_Federated_Learning__Secure_Aggregation_.pdf
Medical Federated Model with Mixture of Personalized and Sharing Components,"Yawei Zhao, Qinghe Liu, Xinwang Liu, Kunlun He",2023,"Although data-driven methods usually have noticeable performance on disease diagnosis and treatment, they are suspected of leakage of privacy due to collecting data for model training. Recently, federated learning provides a secure and trustable alternative to collaboratively train model without ...",2306.14483,2306.14483_Medical_Federated_Model_with_Mixture_of_Personalized_and_Sha.pdf
Blockchain-Enabled Federated Learning,"Murtaza Rangwala, KR Venugopal, Rajkumar Buyya",2025,"Blockchain-enabled federated learning (BCFL) addresses fundamental challenges of trust, privacy, and coordination in collaborative AI systems. This chapter provides comprehensive architectural analysis of BCFL systems through a systematic four-dimensional taxonomy examining coordination structure...",2508.06406,2508.06406_Blockchain-Enabled_Federated_Learning.pdf
Federated Learning in Distributed Medical Databases: Meta-Analysis of Large-Scale Subcortical Brain Data,"Santiago Silva, Boris Gutman, Eduardo Romero, Paul M Thompson, Andre Altmann et al.",2018,"At this moment, databanks worldwide contain brain images of previously unimaginable numbers. Combined with developments in data science, these massive data provide the potential to better understand the genetic underpinnings of brain diseases. However, different datasets, which are stored at diff...",1810.08553,1810.08553_Federated_Learning_in_Distributed_Medical_Databases__Meta-An.pdf
Complex-valued Federated Learning with Differential Privacy and MRI Applications,"Anneliese Riess, Alexander Ziller, Stefan Kolek, Daniel Rueckert, Julia Schnabel et al.",2021,"Federated learning enhanced with Differential Privacy (DP) is a powerful privacy-preserving strategy to protect individuals sharing their sensitive data for processing in fields such as medicine and healthcare. Many medical applications, for example magnetic resonance imaging (MRI), rely on compl...",2110.03478,2110.03478_Complex-valued_Federated_Learning_with_Differential_Privacy_.pdf
Decentralized Healthcare Systems with Federated Learning and Blockchain,"Abdulrezzak Zekiye, Öznur Özkasap",2023,"Artificial intelligence (AI) and deep learning techniques have gained significant attraction in recent years, owing to their remarkable capability of achieving high performance across a broad range of applications. However, a crucial challenge in training such models is the acquisition of vast am...",2306.17188,2306.17188_Decentralized_Healthcare_Systems_with_Federated_Learning_and.pdf
Study on the Helpfulness of Explainable Artificial Intelligence,"Tobias Labarta, Elizaveta Kulicheva, Ronja Froelian, Christian Geißler, Xenia Melman et al.",2024,"Explainable Artificial Intelligence (XAI) is essential for building advanced machine learning-powered applications, especially in critical domains such as medical diagnostics or autonomous driving. Legal, business, and ethical requirements motivate using effective XAI, but the increasing number o...",2410.11896,2410.11896_Study_on_the_Helpfulness_of_Explainable_Artificial_Intellige.pdf
How Can Explainable Artificial Intelligence Improve Trust and Transparency in Medical Diagnosis Systems?,"Altynbek Seitenov, Ainur Nurzhanova, Azhar Bekbussinova, Yerassyl Bolatkan",2026,"The growing adoption of artificial intelligence in healthcare has raised concerns about the transparency and trustworthiness of AI-driven medical diagnosis systems. Many existing models operate as black boxes, limiting clinicians' ability to understand how decisions are made. Explainable Artifici...",2604.16340,2604.16340_How_Can_Explainable_Artificial_Intelligence_Improve_Trust_an.pdf
Explainable artificial intelligence (XAI) in deep learning-based medical image analysis,"Bas H. M. van der Velden, Hugo J. Kuijf, Kenneth G. A. Gilhuijs, Max A. Viergever",2021,"With an increase in deep learning-based methods, the call for explainability of such methods grows, especially in high-stakes decision making areas such as medical image analysis. This survey presents an overview of eXplainable Artificial Intelligence (XAI) used in deep learning-based medical ima...",2107.10912,2107.10912_Explainable_artificial_intelligence__XAI__in_deep_learning-b.pdf
Guidelines and Evaluation of Clinical Explainable AI in Medical Image Analysis,"Weina Jin, Xiaoxiao Li, Mostafa Fatehi, Ghassan Hamarneh",2022,Explainable artificial intelligence (XAI) is essential for enabling clinical users to get informed decision support from AI and comply with evidence-based medical practice. Applying XAI in clinical settings requires proper evaluation criteria to ensure the explanation technique is both technicall...,2202.10553,2202.10553_Guidelines_and_Evaluation_of_Clinical_Explainable_AI_in_Medi.pdf
Analysis of Explainable Artificial Intelligence Methods on Medical Image Classification,"Vinay Jogani, Joy Purohit, Ishaan Shivhare, Seema C Shrawne",2022,"The use of deep learning in computer vision tasks such as image classification has led to a rapid increase in the performance of such systems. Due to this substantial increment in the utility of these systems, the use of artificial intelligence in many critical tasks has exploded. In the medical ...",2212.10565,2212.10565_Analysis_of_Explainable_Artificial_Intelligence_Methods_on_M.pdf
Explainable Artificial Intelligence for Human Decision-Support System in Medical Domain,"Samanta Knapič, Avleen Malhi, Rohit Saluja, Kary Främling",2021,In the present paper we present the potential of Explainable Artificial Intelligence methods for decision-support in medical image analysis scenarios. With three types of explainable methods applied to the same medical image data set our aim was to improve the comprehensibility of the decisions p...,2105.02357,2105.02357_Explainable_Artificial_Intelligence_for_Human_Decision-Suppo.pdf
eXplainable Artificial Intelligence on Medical Images: A Survey,"Matteus Vargas Simão da Silva, Rodrigo Reis Arrais, Jhessica Victoria Santos da Silva, Felipe Souza Tânios, Mateus Antonio Chinelatto et al.",2023,"Over the last few years, the number of works about deep learning applied to the medical field has increased enormously. The necessity of a rigorous assessment of these models is required to explain these results to all people involved in medical exams. A recent field in the machine learning area ...",2305.07511,2305.07511_eXplainable_Artificial_Intelligence_on_Medical_Images__A_Sur.pdf
Explainable Artificial Intelligence for Medical Applications: A Review,"Qiyang Sun, Alican Akman, Björn W. Schuller",2024,"The continuous development of artificial intelligence (AI) theory has propelled this field to unprecedented heights, owing to the relentless efforts of scholars and researchers. In the medical realm, AI takes a pivotal role, leveraging robust machine learning (ML) algorithms. AI technology in med...",2412.01829,2412.01829_Explainable_Artificial_Intelligence_for_Medical_Applications.pdf
Diagnosis of Acute Poisoning Using Explainable Artificial Intelligence,"Michael Chary, Ed W Boyer, Michele M Burns",2021,"Medical toxicology is the clinical specialty that treats the toxic effects of substances, be it an overdose, a medication error, or a scorpion sting. The volume of toxicological knowledge and research has, as with other medical specialties, outstripped the ability of the individual clinician to e...",2102.01116,2102.01116_Diagnosis_of_Acute_Poisoning_Using_Explainable_Artificial_In.pdf
Explainable Artificial Intelligence Methods in Combating Pandemics: A Systematic Review,"Felipe Giuste, Wenqi Shi, Yuanda Zhu, Tarun Naren, Monica Isgut et al.",2021,"Despite the myriad peer-reviewed papers demonstrating novel Artificial Intelligence (AI)-based solutions to COVID-19 challenges during the pandemic, few have made significant clinical impact. The impact of artificial intelligence during the COVID-19 pandemic was greatly limited by lack of model t...",2112.12705,2112.12705_Explainable_Artificial_Intelligence_Methods_in_Combating_Pan.pdf
An Empirical Comparison of Explainable Artificial Intelligence Methods for Clinical Data: A Case Study on Traumatic Brain Injury,"Amin Nayebi, Sindhu Tipirneni, Brandon Foreman, Chandan K. Reddy, Vignesh Subbian",2022,A longstanding challenge surrounding deep learning algorithms is unpacking and understanding how they make their decisions. Explainable Artificial Intelligence (XAI) offers methods to provide explanations of internal functions of algorithms and reasons behind their decisions in ways that are inte...,2208.06717,2208.06717_An_Empirical_Comparison_of_Explainable_Artificial_Intelligen.pdf
Breast Cancer Diagnosis: A Comprehensive Exploration of Explainable Artificial Intelligence (XAI) Techniques,"Samita Bai, Sidra Nasir, Rizwan Ahmed Khan, Alexandre Meyer, Hubert Konik",2024,"Breast cancer (BC) stands as one of the most common malignancies affecting women worldwide, necessitating advancements in diagnostic methodologies for better clinical outcomes. This article provides a comprehensive exploration of the application of Explainable Artificial Intelligence (XAI) techni...",2406.00532,2406.00532_Breast_Cancer_Diagnosis__A_Comprehensive_Exploration_of_Expl.pdf
An Explainable AI Framework for Artificial Intelligence of Medical Things,"Al Amin, Kamrul Hasan, Saleh Zein-Sabatto, Deo Chimba, Imtiaz Ahmed et al.",2024,"The healthcare industry has been revolutionized by the convergence of Artificial Intelligence of Medical Things (AIoMT), allowing advanced data-driven solutions to improve healthcare systems. With the increasing complexity of Artificial Intelligence (AI) models, the need for Explainable Artificia...",2403.04130,2403.04130_An_Explainable_AI_Framework_for_Artificial_Intelligence_of_M.pdf
